OrijinalIsim,DuzenlenmisFirmaAdi,VKN,Cari_Kod
KÜTAHYA HASTANE İŞLETMELERİ YATIRIM A.Ş.,KÜTAHYA HASTANE İŞLETMELERİ YATİRİM A.Ş.,6070376789,
EPOİF TEKNOLOJİ A.Ş,EPOİF TEKNOLOJİ A.Ş,,
ACACİA MADEN İŞLETMELERİ ANONİM ŞİRKETİ,ACACİA MADEN İŞLETMELERİ ANONİM ŞTİ.,0910506007,
ADIYAMAN KABLO KONNEKTÖR ANONİM ŞİRKETİ,ADİYAMAN KABLO KONNEKTÖR ANONİM ŞTİ.,0081894771,
AKSA MEDİCAL,AKSA MEDİCAL,,
BİONEVA YAŞAM BİLİMLERİ SAĞLIK DANIŞMANLIK VE ARAÇ KİRALAMA TİCARET LİMİTED ŞİRKETİ,BİONEVA YAŞAM BİLİMLERİ SAĞLIK DANIŞMANLIK VE ARAÇ KİRALAMA TİCARET LİMİTED ŞTİ.,1761016486,
YORGLASS ENDÜSTRİYEL CAM SANAYİ VE TİCARET ANONİM ŞİRKETİ,YORGLASS ENDÜSTRİYEL CAM SANAYİ VE TİCARET ANONİM ŞTİ.,9821092915,
ÖZEL TAKEV LİSESİ EĞİTİM ÖĞRETİM TİCARET ANONİM ŞİRKETİ,ÖZEL TAKEV LİSESİ EĞİTİM ÖĞRETİM TİCARET ANONİM ŞTİ.,6850493134,
ÇÖZÜM MED İSTANBUL MOBİL SAĞLIK HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,ÇÖZÜM MED İSTANBUL MOBİL SAĞLIK HİZMETLERİ TİCARET LİMİTED ŞTİ.,2630357617,
KAUNAS CLINICS,KAUNAS CLİNİCS,,
NOVMA KİMYA SANAYİ TİCARET LİMİTED ŞİRKETİ,NOVMA KİMYA SANAYİ TİCARET LİMİTED ŞTİ.,6321564061,
ERVA KIYMETLİ MADENLER ANONİM ŞİRKETİ,ERVA KİYMETLİ MADENLER ANONİM ŞTİ.,3760266800,
PRZ DİNAMİK MAKİNE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,PRZ DİNAMİK MAKİNE SANAYİ VE TİCARET LİMİTED ŞTİ.,7330836676,
YİĞİTOĞLU KİMYA ANONİM ŞİRKETİ,YİĞİTOĞLU KİMYA ANONİM ŞTİ.,9800504200,
SİMERA BİYOTEKNOLOJİ LİMİTED ŞİRKETİ,SİMERA BİYOTEKNOLOJİ LİMİTED ŞTİ.,7701265367,
FIRMA,FIRMA,,
SML TEKSTİL SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,SML TEKSTİL SANAYİ VE DIŞ TİCARET LİMİTED ŞTİ.,6810206790,
NICOMATIC TEKNOLOJİ ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİCOMATİC TEKNOLOJİ ÜRETİM SANAYİ VE TİCARET LİMİTED ŞTİ.,6311373087,
VİATRİ GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,VİATRİ GIDA SANAYİ VE TİCARET ANONİM ŞTİ.,6222600064,
